Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
2/9/2022,1551.51,1551.51,1551.51,1551.51
2/8/2022,1530.09,1530.09,1530.09,1530.09
2/7/2022,1530.65,1530.65,1530.65,1530.65
2/4/2022,1522.76,1522.76,1522.76,1522.76
2/3/2022,1525.73,1525.73,1525.73,1525.73
01/31/22,1512.27,1512.27,1512.27,1512.27
01/28/22,1520.02,1520.02,1520.02,1520.02
01/27/22,1515.99,1515.99,1515.99,1515.99
01/26/22,1515.76,1515.76,1515.76,1515.76
01/25/22,1508.91,1508.91,1508.91,1508.91
01/24/22,1521.86,1521.86,1521.86,1521.86
01/21/22,1527.06,1527.06,1527.06,1527.06
01/20/22,1527.75,1527.75,1527.75,1527.75
01/19/22,1530.33,1530.33,1530.33,1530.33
01/17/22,1542.92,1542.92,1542.92,1542.92
01/14/22,1555.33,1555.33,1555.33,1555.33
01/13/22,1569.51,1569.51,1569.51,1569.51
1/12/2022,1563.2,1563.2,1563.2,1563.2
1/11/2022,1564.29,1564.29,1564.29,1564.29
1/10/2022,1550.17,1550.17,1550.17,1550.17
1/7/2022,1543.11,1543.11,1543.11,1543.11
1/6/2022,1533.36,1533.36,1533.36,1533.36
1/5/2022,1547.95,1547.95,1547.95,1547.95
1/4/2022,1541.9,1541.9,1541.9,1541.9
1/3/2022,1549.05,1549.05,1549.05,1549.05
12/31/21,1567.53,1567.53,1567.53,1567.53
12/30/21,1543.61,1543.61,1543.61,1543.61
12/29/21,1545.04,1545.04,1545.04,1545.04
12/28/21,1539.89,1539.89,1539.89,1539.89
12/27/21,1533.91,1533.91,1533.91,1533.91
12/24/21,1516.45,1516.45,1516.45,1516.45
12/23/21,1516.42,1516.42,1516.42,1516.42
12/22/21,1500.32,1500.32,1500.32,1500.32
12/21/21,1492.59,1492.59,1492.59,1492.59
12/20/21,1493.9,1493.9,1493.9,1493.9
12/17/21,1502.01,1502.01,1502.01,1502.01
12/16/21,1484.64,1484.64,1484.64,1484.64
12/15/21,1482.81,1482.81,1482.81,1482.81
12/14/21,1480.92,1480.92,1480.92,1480.92
12/13/21,1494.86,1494.86,1494.86,1494.86
12/10/2021,1488.88,1488.88,1488.88,1488.88
12/9/2021,1501.79,1501.79,1501.79,1501.79
12/8/2021,1494.03,1494.03,1494.03,1494.03
12/7/2021,1497.97,1497.97,1497.97,1497.97
12/6/2021,1483.45,1483.45,1483.45,1483.45
12/2/2021,1501.74,1501.74,1501.74,1501.74
12/1/2021,1496.93,1496.93,1496.93,1496.93
11/30/21,1513.98,1513.98,1513.98,1513.98
11/29/21,1510.57,1510.57,1510.57,1510.57
11/26/21,1512.22,1512.22,1512.22,1512.22
11/25/21,1517.6,1517.6,1517.6,1517.6
11/24/21,1522.27,1522.27,1522.27,1522.27
11/23/21,1522.88,1522.88,1522.88,1522.88
11/22/21,1526.87,1526.87,1526.87,1526.87
11/19/21,1525.54,1525.54,1525.54,1525.54
11/18/21,1523.79,1523.79,1523.79,1523.79
11/17/21,1525.13,1525.13,1525.13,1525.13
11/16/21,1522.89,1522.89,1522.89,1522.89
11/15/21,1522.34,1522.34,1522.34,1522.34
11/12/2021,1531.22,1531.22,1531.22,1531.22
11/11/2021,1518.85,1518.85,1518.85,1518.85
11/10/2021,1520.74,1520.74,1520.74,1520.74
11/9/2021,1524.03,1524.03,1524.03,1524.03
